epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8522,2.93438,5.82931,4.2242,0,0,0,0,2.50746,5.07712,3.93273,4.64659e-05,4.64659e-05,4.64659e-05
2,16.7855,2.88247,5.80842,4.15316,0,0,0,0,2.48151,4.99911,3.88785,9.25406e-05,9.25406e-05,9.25406e-05
3,23.0647,2.85984,5.63142,3.9836,0.00101,0.04956,0.0014,0.00043,2.39987,5.09094,3.48759,0.000137685,0.000137685,0.000137685
4,29.2493,2.8269,5.46001,3.76817,0.00712,0.09648,0.00644,0.00172,2.32705,4.32676,3.36581,0.000136812,0.000136812,0.000136812
5,35.3942,2.73519,5.23869,3.55867,0.43653,0.02935,0.0126,0.00419,2.19143,4.11222,3.16385,0.000135416,0.000135416,0.000135416
6,41.5717,2.61651,4.98946,3.38407,0.46441,0.03149,0.01368,0.00572,2.09491,3.96258,2.96997,0.000134021,0.000134021,0.000134021
7,47.7376,2.50019,4.85616,3.21129,0.43802,0.03817,0.015,0.00605,2.00272,3.69765,2.77805,0.000132625,0.000132625,0.000132625
8,53.7964,2.34659,4.55358,3.00953,0.33089,0.06848,0.02288,0.00933,1.8996,3.59272,2.66606,0.000131229,0.000131229,0.000131229
9,60.2142,2.28514,4.38764,2.90389,0.39351,0.06896,0.02847,0.01334,1.83032,3.57092,2.5141,0.000129833,0.000129833,0.000129833
10,66.601,2.14302,4.23853,2.7671,0.42173,0.0741,0.03267,0.01511,1.72514,3.38801,2.40461,0.000128437,0.000128437,0.000128437
11,72.9987,2.07852,4.16355,2.68013,0.47714,0.07994,0.03801,0.01903,1.67808,3.2812,2.33254,0.000127041,0.000127041,0.000127041
12,79.3736,2.01964,4.06782,2.59541,0.48549,0.11952,0.04653,0.02529,1.63476,3.1633,2.24392,0.000125645,0.000125645,0.000125645
13,85.5381,1.94845,3.92761,2.52416,0.50558,0.09948,0.05903,0.03533,1.56531,3.10047,2.1693,0.000124249,0.000124249,0.000124249
14,91.776,1.90037,3.90157,2.47676,0.48583,0.11864,0.06764,0.03858,1.50811,3.02504,2.11272,0.000122853,0.000122853,0.000122853
15,97.9997,1.87192,3.87416,2.44263,0.48083,0.11244,0.06737,0.04098,1.49112,3.01883,2.08031,0.000121457,0.000121457,0.000121457
16,104.483,1.81264,3.78464,2.37678,0.5136,0.12985,0.07717,0.04781,1.45784,2.87658,2.04616,0.000120062,0.000120062,0.000120062
17,111.008,1.79265,3.74004,2.34558,0.53489,0.12841,0.08481,0.0526,1.44749,2.87594,2.02289,0.000118666,0.000118666,0.000118666
18,117.155,1.74878,3.67609,2.31244,0.53308,0.13908,0.10091,0.06002,1.43675,2.79433,1.98419,0.00011727,0.00011727,0.00011727
19,123.159,1.71914,3.62113,2.28145,0.41967,0.17875,0.09664,0.05993,1.38492,2.84185,1.94293,0.000115874,0.000115874,0.000115874
20,129.228,1.69566,3.63616,2.2499,0.54922,0.13554,0.09793,0.06248,1.36908,2.75689,1.9444,0.000114478,0.000114478,0.000114478
21,135.326,1.66701,3.63032,2.22496,0.56226,0.14976,0.11846,0.0746,1.34403,2.68258,1.8908,0.000113082,0.000113082,0.000113082
22,141.574,1.64003,3.50347,2.19215,0.58977,0.14078,0.11795,0.07577,1.31891,2.64152,1.85853,0.000111686,0.000111686,0.000111686
23,147.948,1.63794,3.54409,2.18504,0.48349,0.16511,0.12454,0.07919,1.32827,2.65108,1.86132,0.00011029,0.00011029,0.00011029
24,154.062,1.60915,3.45656,2.16015,0.60541,0.14531,0.12291,0.07931,1.32196,2.66081,1.85908,0.000108894,0.000108894,0.000108894
25,160.111,1.63166,3.52672,2.17132,0.5086,0.17335,0.12153,0.07923,1.29954,2.6147,1.83551,0.000107498,0.000107498,0.000107498
26,166.121,1.5839,3.50051,2.12752,0.50084,0.20136,0.13626,0.0874,1.29273,2.62559,1.82401,0.000106103,0.000106103,0.000106103
27,172.285,1.61493,3.49021,2.1531,0.52892,0.19086,0.13557,0.08648,1.28377,2.54913,1.81348,0.000104707,0.000104707,0.000104707
28,178.081,1.59285,3.43304,2.115,0.45811,0.18852,0.1342,0.08866,1.27337,2.54443,1.78771,0.000103311,0.000103311,0.000103311
29,184,1.57145,3.39877,2.10148,0.53176,0.18708,0.14547,0.09599,1.25815,2.5372,1.77856,0.000101915,0.000101915,0.000101915
30,189.913,1.51646,3.24817,2.05329,0.62547,0.17733,0.14481,0.09844,1.23484,2.51687,1.75442,0.000100519,0.000100519,0.000100519
31,195.885,1.54068,3.33604,2.08821,0.58241,0.17285,0.14098,0.09731,1.23062,2.55372,1.76898,9.9123e-05,9.9123e-05,9.9123e-05
32,201.815,1.52464,3.31523,2.06087,0.65895,0.16839,0.14614,0.09841,1.23071,2.46877,1.7291,9.77271e-05,9.77271e-05,9.77271e-05
33,207.806,1.51544,3.33244,2.04886,0.56582,0.17666,0.15336,0.10554,1.21227,2.52587,1.73268,9.63312e-05,9.63312e-05,9.63312e-05
34,213.727,1.53137,3.32754,2.06491,0.60757,0.16746,0.15649,0.10695,1.21648,2.4338,1.73284,9.49353e-05,9.49353e-05,9.49353e-05
35,219.751,1.4776,3.23498,2.00372,0.5652,0.1903,0.15672,0.10778,1.21309,2.43647,1.73706,9.35394e-05,9.35394e-05,9.35394e-05
36,225.632,1.45991,3.15322,1.98884,0.56757,0.19482,0.1646,0.11193,1.19978,2.42749,1.71475,9.21435e-05,9.21435e-05,9.21435e-05
37,231.554,1.43686,3.14019,1.95341,0.54217,0.19123,0.17141,0.11939,1.20089,2.41869,1.7165,9.07476e-05,9.07476e-05,9.07476e-05
38,237.494,1.45809,3.17405,1.98581,0.54384,0.21158,0.17475,0.12,1.20042,2.37361,1.691,8.93517e-05,8.93517e-05,8.93517e-05
39,243.627,1.44799,3.12923,1.96422,0.63293,0.17413,0.17321,0.11927,1.17718,2.43237,1.68793,8.79558e-05,8.79558e-05,8.79558e-05
40,249.56,1.4467,3.16699,1.96367,0.44122,0.20116,0.16414,0.11627,1.17387,2.43856,1.69165,8.65599e-05,8.65599e-05,8.65599e-05
41,255.457,1.4435,3.09607,1.95865,0.60062,0.16069,0.17486,0.12255,1.17611,2.41317,1.69127,8.5164e-05,8.5164e-05,8.5164e-05
42,261.346,1.42383,3.16052,1.94614,0.6322,0.17868,0.17476,0.12292,1.1533,2.36479,1.66269,8.37681e-05,8.37681e-05,8.37681e-05
43,267.599,1.43018,3.12901,1.94933,0.6167,0.19878,0.19074,0.1333,1.15476,2.33795,1.66366,8.23722e-05,8.23722e-05,8.23722e-05
44,273.648,1.42432,3.12277,1.95105,0.65507,0.20999,0.18378,0.12964,1.14708,2.32404,1.65951,8.09763e-05,8.09763e-05,8.09763e-05
45,279.665,1.43286,3.10523,1.95626,0.42287,0.23465,0.19081,0.13246,1.14105,2.29414,1.63637,7.95804e-05,7.95804e-05,7.95804e-05
46,285.61,1.41364,3.06369,1.9364,0.60627,0.18405,0.18283,0.12788,1.15914,2.34586,1.66838,7.81845e-05,7.81845e-05,7.81845e-05
47,291.476,1.41036,3.10935,1.93219,0.48127,0.21886,0.19059,0.13496,1.14217,2.30483,1.64752,7.67886e-05,7.67886e-05,7.67886e-05
