class_id,x_center,y_center,width,height,file_name,row_index,image_path,label_path,mask_path,warm_color_binary,train_test_validation
35,0.470000,0.471667,0.430000,0.523333,0,1,0.jpg,0.txt,None,0,0
35,0.163750,0.281667,0.322500,0.556667,0,2,0.jpg,0.txt,None,0,0
35,0.730000,0.101667,0.525000,0.196667,0,3,0.jpg,0.txt,None,0,0
35,0.705000,0.405000,0.210000,0.230000,0,4,0.jpg,0.txt,None,0,0
35,0.858750,0.551667,0.237500,0.376667,0,5,0.jpg,0.txt,None,0,0
35,0.737500,0.841667,0.260000,0.316667,0,6,0.jpg,0.txt,None,0,0
35,0.208750,0.668333,0.232500,0.290000,0,7,0.jpg,0.txt,None,0,0
35,0.516250,0.865000,0.207500,0.183333,0,8,0.jpg,0.txt,None,0,0
35,0.052500,0.703333,0.100000,0.460000,0,9,0.jpg,0.txt,None,0,0
35,0.401250,0.076667,0.157500,0.146667,0,10,0.jpg,0.txt,None,0,0
35,0.930000,0.846667,0.140000,0.306667,0,11,0.jpg,0.txt,None,0,0
35,0.257500,0.905000,0.310000,0.183333,0,12,0.jpg,0.txt,None,0,0
24,0.561840,0.532570,0.621039,0.223592,1,1,1.jpg,1.txt,None,0,2
24,0.587368,0.172829,0.599912,0.205986,1,2,1.jpg,1.txt,None,0,2
24,0.500220,0.797242,0.999560,0.385563,1,3,1.jpg,1.txt,None,0,2
24,0.134683,0.329519,0.265845,0.657864,1,4,1.jpg,1.txt,None,0,2
24,0.881602,0.309272,0.235915,0.612676,1,5,1.jpg,1.txt,None,0,2
5,0.420991,0.558304,0.525943,0.713781,10,1,10.jpg,10.txt,10*1*5.png,1,0
5,0.676887,0.378092,0.405660,0.522968,10,2,10.jpg,10.txt,10*2*5.png,1,0
55,0.447224,0.331411,0.327164,0.283940,100,1,100.jpg,100.txt,100*1*55.png,1,1
55,0.151576,0.321429,0.290145,0.280834,100,2,100.jpg,100.txt,100*2*55.png,1,1
55,0.727364,0.327862,0.287144,0.283052,100,3,100.jpg,100.txt,100*3*55.png,1,1
55,0.515758,0.746894,0.368184,0.323425,100,4,100.jpg,100.txt,100*4*55.png,1,1
55,0.803902,0.688776,0.300150,0.286158,100,5,100.jpg,100.txt,100*5*55.png,1,1
55,0.167084,0.744011,0.331166,0.336291,100,6,100.jpg,100.txt,100*6*55.png,1,1
55,0.238369,0.548802,0.336668,0.209406,100,7,100.jpg,100.txt,100*7*55.png,1,1
55,0.367684,0.156389,0.380190,0.189441,100,8,100.jpg,100.txt,100*8*55.png,1,1
55,0.722167,0.730667,0.555667,0.537778,101,1,101.jpg,101.txt,101*1*55.png,1,1
55,0.557833,0.324000,0.535000,0.461333,101,2,101.jpg,101.txt,101*2*55.png,1,1
55,0.226167,0.606889,0.449000,0.786222,101,3,101.jpg,101.txt,101*3*55.png,1,1
